experimento,tempo,consumo_cpu
14,21.5,82.1
14,22.0,122.0
14,22.5,178.0
14,23.0,125.0
14,23.5,211.0
14,24.0,51.8
14,24.5,88.8
14,25.0,181.0
14,25.5,133.0
14,26.0,140.0
14,26.5,89.2
14,27.0,117.0
14,27.5,200.0
14,28.0,167.0
14,28.5,218.0
14,29.0,74.0
14,29.5,129.0
14,30.0,162.0
15,0.5,142.0
15,1.0,122.0
15,1.5,117.0
15,2.0,125.0
15,2.5,114.0
15,3.0,181.0
15,3.5,166.0
15,4.0,88.8
15,4.5,148.0
15,5.0,162.0
15,5.5,188.0
15,6.0,78.5
15,6.5,77.7
15,7.0,192.0
15,7.5,132.0
15,8.0,237.0
15,8.5,140.0
15,9.0,100.0
15,9.5,182.0
15,10.0,146.0
15,10.5,170.0
15,11.0,110.0
15,11.5,60.7
15,12.0,175.0
15,12.5,135.0
15,13.0,189.0
15,13.5,140.0
15,14.0,100.0
15,14.5,155.0
15,15.0,144.0
15,15.5,118.0
15,16.0,118.0
15,16.5,75.0
15,17.0,137.0
15,17.5,167.0
15,18.0,137.0
15,18.5,140.0
15,19.0,103.0
15,19.5,155.0
15,20.0,203.0
15,20.5,88.8
15,21.0,88.8
15,21.5,110.0
15,22.0,133.0
15,22.5,181.0
15,23.0,133.0
15,23.5,151.0
15,24.0,110.0
15,24.5,140.0
15,25.0,177.0
15,25.5,103.0
15,26.0,74.0
15,26.5,128.0
15,27.0,144.0
15,27.5,137.0
15,28.0,181.0
15,28.5,74.0
15,29.0,174.0
15,29.5,170.0
15,30.0,144.0
16,0.5,135.0
16,1.0,60.7
16,1.5,118.0
16,2.0,151.0
16,2.5,164.0
16,3.0,225.0
16,3.5,67.8
16,4.0,151.0
16,4.5,188.0
16,5.0,135.0
16,5.5,144.0
16,6.0,85.7
16,6.5,118.0
16,7.0,207.0
16,7.5,166.0
16,8.0,181.0
16,8.5,100.0
16,9.0,137.0
16,9.5,185.0
16,10.0,118.0
16,10.5,77.7
16,11.0,125.0
16,11.5,107.0
16,12.0,192.0
16,12.5,155.0
16,13.0,62.9
16,13.5,159.0
16,14.0,121.0
16,14.5,118.0
16,15.0,128.0
16,15.5,57.1
16,16.0,122.0
16,16.5,175.0
16,17.0,122.0
16,17.5,211.0
16,18.0,64.2
16,18.5,166.0
16,19.0,214.0
16,19.5,92.5
16,20.0,100.0
16,20.5,78.5
16,21.0,121.0
16,21.5,177.0
16,22.0,155.0
16,22.5,148.0
16,23.0,103.0
16,23.5,137.0
16,24.0,229.0
16,24.5,88.8
16,25.0,74.0
16,25.5,133.0
16,26.0,137.0
16,26.5,177.0
16,27.0,177.0
16,27.5,74.0
16,28.0,164.0
16,28.5,146.0
16,29.0,133.0
16,29.5,144.0
16,30.0,57.1
17,0.5,114.0
17,1.0,160.0
17,1.5,166.0
17,2.0,222.0
17,2.5,57.1
17,3.0,155.0
17,3.5,196.0
17,4.0,129.0
17,4.5,133.0
17,5.0,82.1
17,5.5,103.0
17,6.0,192.0
17,6.5,148.0
17,7.0,240.0
17,7.5,85.1
17,8.0,118.0
17,8.5,182.0
17,9.0,128.0
17,9.5,100.0
17,10.0,114.0
17,10.5,114.0
17,11.0,144.0
17,11.5,177.0
17,12.0,114.0
17,12.5,125.0
17,13.0,142.0
17,13.5,155.0
17,14.0,164.0
17,14.5,103.0
17,15.0,100.0
17,15.5,137.0
17,16.0,129.0
17,16.5,207.0
17,17.0,92.5
17,17.5,103.0
17,18.0,188.0
17,18.5,133.0
17,19.0,177.0
17,19.5,114.0
17,20.0,77.7
17,20.5,177.0
17,21.0,140.0
17,21.5,203.0
17,22.0,129.0
17,22.5,107.0
17,23.0,177.0
17,23.5,166.0
17,24.0,111.0
17,24.5,118.0
17,25.0,92.8
17,25.5,144.0
17,26.0,144.0
17,26.5,159.0
17,27.0,144.0
17,27.5,111.0
17,28.0,139.0
17,28.5,207.0
17,29.0,78.5
17,29.5,88.8
17,30.0,125.0
18,0.5,151.0
18,1.0,200.0
18,1.5,150.0
18,2.0,129.0
18,2.5,128.0
18,3.0,137.0
18,3.5,211.0
18,4.0,137.0
18,4.5,81.4
18,5.0,132.0
18,5.5,140.0
18,6.0,177.0
18,6.5,181.0
18,7.0,59.2
18,7.5,133.0
18,8.0,144.0
18,8.5,155.0
18,9.0,157.0
18,9.5,67.8
18,10.0,111.0
18,10.5,128.0
18,11.0,135.0
18,11.5,225.0
18,12.0,48.1
18,12.5,128.0
18,13.0,164.0
18,13.5,144.0
18,14.0,151.0
18,14.5,89.2
18,15.0,103.0
18,15.5,189.0
18,16.0,142.0
18,16.5,203.0
18,17.0,100.0
18,17.5,148.0
18,18.0,181.0
18,18.5,150.0
18,19.0,103.0
18,19.5,100.0
18,20.0,121.0
18,20.5,137.0
18,21.0,210.0
18,21.5,181.0
18,22.0,96.2
18,22.5,139.0
18,23.0,140.0
18,23.5,189.0
18,24.0,111.0
18,24.5,81.4
18,25.0,153.0
18,25.5,162.0
18,26.0,225.0
18,26.5,174.0
18,27.0,122.0
18,27.5,160.0
18,28.0,132.0
18,28.5,166.0
18,29.0,114.0
18,29.5,66.6
18,30.0,122.0
19,0.5,142.0
19,1.0,203.0
19,1.5,118.0
19,2.0,62.9
19,2.5,162.0
